Time|Time,Cell_length|Cell_length,DNA1|Ir191,DNA2|Ir193,BC1|Pd104,BC2|Pd106,BC3|Pd108,BC4|In113,BC5|In115,BC6|La139,pPLCg2|Pr141,CD19|Nd142,p4EBP1|Nd143,CD11b|Nd144,pAMPK|Nd145,pSTAT3|Nd146,CD34|Nd148,pSTAT5|Nd150,pS6|Sm147,pCREB|Sm149,pc-Cbl|Sm152,CD45|Sm154,CD123|Eu151,pSTAT1|Eu153,pZap70-Syk|Gd156,CD33|Gd158,CD47|Gd160,pAKT|Tb159,CD7|Dy162,CD15|Dy164,pRb|Ho165,CD44|Er166,CD38|Er167,pErk1-2|Er168,CD3|Er170,pP38|Tm169,CD117|Yb171,cCaspase3|Yb172,HLA-DR|Yb174,CD64|Yb176,CD41|Lu175,Viability|Pt195,PhenoGraph|PhenoGraph,Condition|Condition
682888,23,282.526886,478.9920044,57.11059952,-0.164669856,-0.566271782,-0.253708303,4.26521492,10.1302309,0.737373829,1.54936564,2.915667057,-0.189834937,-0.26848048,-0.089711398,2.542483568,0.010055053,2.120461226,26.84379387,1.787902832,893.9052124,-0.23626852,350.4088745,-0.114043139,-0.205268279,64.82351685,-0.466982603,37.56628799,-0.190512449,12.98808861,137.9127808,1.914450884,-0.244887844,756.2072754,1.720845461,-0.11466480799999999,-0.35377416,1.916736245,-0.69001472,-0.415528059,-0.574073076,4,4
4180877,29,325.706604,516.4633179,-0.204180226,54.37873077,60.1030426,3.437189817,2.056329489,-0.018382102,1.613255501,1.051343441,-0.445129097,2.591531754,5.038763523,1.867542863,3.15947175,1.199671268,-0.566959143,6.012098312,-0.309480667,1244.360596,-0.392926902,157.167038,-0.47623533,1.481983423,11.6028862,0.589276612,19.75406456,2.251484632,72.44403839,88.67739868,-0.418314487,-0.619675577,240.1574554,1.017729878,1.385154247,1.147236228,0.596268177,1.336816311,-0.604943454,0.024425188,6,6
1313651,24,176.1973724,306.7775574,1.318689585,20.83333969,-0.435942739,-0.107136533,3.036407232,9.3280467989999991,-0.450348288,15.2885828,-0.109548852,0.7176283,0.826737761,0.835323989,-0.598060429,-0.454214841,1.733154178,26.03946877,4.114254475,1235.52417,-0.681770682,125.486969,-0.250255704,-0.169349968,29.2719593,-0.258719742,12.76477718,0.147776142,22.7083416,85.4287796,2.148847103,-0.577549815,327.8613586,-0.315813184,0.99397099,0.811398745,-0.048891459,0.398795158,-0.077462159,1.331775308,13,13
2231886,33,309.29953,667.4973145,-0.376985073,79.91560364,85.67409515,8.737789154,-0.26344189,1.854323268,0.797459245,0.196326181,6.588246822,-0.402479023,3.924412727,5.072696209,-0.074797638,0.78425771,3.442377567,25.91407967,-0.164687157,973.6046143,6.598775864,112.4888535,-0.326603681,-0.196957886,28.00522614,2.278131247,88.71344757,4.562388897,132.9328918,164.8934479,-0.731614172,1.567682981,182.2929535,1.677696943,0.524951935,-0.257899582,-0.117158644,0.279512823,-0.466640025,6.796071529,6,6
1354547,18,80.21617126,161.8369751,54.859478,0.05783974,49.31315994,0.031567581,4.411126137,-0.432492077,-0.398511738,-0.645784974,-0.006520112,-0.346457094,-0.64706409,-0.60855943,2.101492643,1.021029353,-0.086214952,-0.45942381,-0.372066528,233.1142273,-0.110830188,1.427697659,-0.17314446,1.383164883,59.5098877,-0.409901291,14.41524506,-0.003079021,6.496788025,38.7654686,6.81071043,2.24505806,126.1547928,-0.401338279,-0.091163516,-0.30953896,2.694731474,-0.40924567,-0.670267642,5.090126991,1,1
1177161,24,239.9452362,493.7285461,0.83255434,71.49454498,-0.205657199,-0.065356545,13.85477161,14.53165817,-0.262208104,1.53318131,-0.628538013,0.945058882,1.285475492,-0.182859048,2.085932493,6.908915997,2.118690491,21.28945351,-0.568896294,944.9068604,-0.564920843,154.5561218,-0.33100158,-0.329366028,41.82838821,-0.523949921,87.49420166,0.379445523,46.45436859,107.2961044,1.931185126,2.167096615,393.0831604,-0.235926822,1.325294018,-0.048727866,-0.432454526,-0.003258112,-0.469544202,3.981889486,13,13
2920859,21,211.0589752,366.3215637,-0.588354051,-0.751558602,19.0017395,6.336826801,-0.632924557,8.20130825,-0.222266585,0.784906447,1.344754577,8.135284424,0.008721053,-0.14730297,4.34420681,-0.030789301,-0.27201581,3.6312499049999998,-0.130650297,517.4981689,-0.343210042,16.91019249,1.503945589,-0.225689754,24.18686104,-0.019755678,31.87680054,1.535436392,42.24018097,252.6846161,-0.367876381,-0.139821216,85.7220459,0.288116187,1.521322012,-0.136463732,-0.702307701,-0.079978086,-0.168219164,0.504622042,11,11
1311774,30,221.0167694,544.7821655,9.286658287,3.386387348,8.959460258,-0.439510107,8.806292534,1.20591259,3.150605202,1.555384398,0.573732793,0.947864234,3.312570572,-0.267266452,0.919121385,0.015842138,1.329610348,4.050615788,2.746836901,994.8555908,0.201634616,153.0310669,-0.587546885,-0.240801826,12.80503368,3.187016726,97.94769287,1.859444022,4.702265263,9.908941269,1.391212106,5.560768604,270.8463745,2.858421564,1.391561389,-0.473686457,-0.573735118,-0.149492308,-0.48132211,1.289848566,1,1
2644880,36,143.7033691,325.513031,-0.023110047,75.62388611,64.60202789,-0.21004428,3.957938671,6.479315281,-0.584787607,0.115281254,2.636517763,-0.395096421,2.105390549,-0.653226376,-0.484909713,3.731717587,3.371711016,26.29824257,3.822123766,650.406189,-0.443595499,792.7030029,-0.372939378,-0.155837372,42.19589233,-0.655467033,19.34514618,2.382349968,46.69655228,135.5453796,5.337601185,1.249824286,325.4645386,1.393278956,0.203887731,3.007664204,0.179092333,3.271734476,-0.434219539,3.264798641,7,7
2695879,22,159.3723297,304.0126648,13.93837643,0.825708032,6.756091595,-0.013210988,-0.512443304,28.92435455,2.451571226,-0.32376641,6.721471786,1.219492793,4.35223341,-0.55018878,-0.186953485,2.838973284,2.612582684,3.955801964,5.035610676,830.5394897,0.972852826,129.1930389,-0.150614455,-0.214520201,23.23727989,-0.356766284,22.62169266,-0.449599653,124.6504822,128.3194122,-0.103220344,-0.417247027,547.1467896,-0.135144368,0.673152626,-0.394471705,-0.606253982,1.482914329,-0.635203958,4.480079174,2,2
2218083,22,202.9283905,330.4115906,6.623653889,96.93982697,80.33367157,-0.106573865,-0.578032613,54.634552,0.980489433,-0.71391201,-0.267104805,2.004616737,-0.665784359,3.724650621,0.411376148,3.251878262,-0.587129056,6.631270885,1.31268096,877.4222412,0.83245486,183.9949341,-0.310702533,-0.539732277,40.11867905,-0.739461005,43.2772522,-0.180479497,16.13308716,36.90166473,0.244800016,0.916679919,789.6624146,0.379171818,-0.587304592,-0.72568655,-0.228606164,2.469918728,-0.729061782,0.50737679,8,8
2642246,30,140.0154419,320.8691406,51.09515762,0.815059423,58.02677536,0.929516256,0.284197837,17.25234985,5.796239376,4.505774498,-0.218298212,1.377491713,4.695756435,-0.505489647,5.824681759,1.721935153,-0.434361756,28.70240021,1.324631214,582.0874634,-0.206009194,223.5409851,-0.494084835,-0.68453747,92.56141663,1.222582579,9.18140316,4.947247982,3367.351074,6.058565617,3.201863289,-0.559160888,371.4206543,-0.402257532,-0.616445601,-0.68338567,-0.158385158,1.159131646,-0.623258412,2.916025162,2,2
